meta_run_id,pair_id,agent_condition,seed,task_id,source_id,dataset_path,difficulty_index,difficulty_stratum,prompt_strictness_level,context_visibility_level,timeout_budget_level,start_ts,end_ts,total_time_sec,time_to_first_valid_plan_sec,iterations_count,d_efficiency,mean_power,predicted_gain,uncertainty_index,budget_used_ratio,invalid_assumptions_count,budget_violations_count,model_mismatch_flags,decision_reversal_count,output_completeness_score,format_compliance_score,impact_score,notes
meta_run_00026,PAIR_0061,Agent_With,3061,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_only,long,2026-08-14T13:58:17.417968+00:00,2026-08-14T13:58:41.461935+00:00,0.1066,0.0373,3,0.4548898727480335,0.92853888541125,0.7570777708224999,0.12601685477105393,1.0,0,0,0,0,1.0,1.0,88.3744,real_data_meta_benchmark_run
meta_run_00027,PAIR_0031,Agent_Without,3031,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,high,task_plus_history,short,2026-08-14T13:58:17.420512+00:00,2026-08-14T13:58:41.790903+00:00,0.0158,0.01,4,0.47122599054688413,0.6749563464488803,0.2849039621875366,0.28923397143857665,1.0,0,0,0,0,1.0,1.0,79.7407,real_data_meta_benchmark_run
meta_run_00028,PAIR_0031,Agent_With,3031,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,high,task_plus_history,short,2026-08-14T13:58:17.424124+00:00,2026-08-14T13:58:42.116143+00:00,0.1177,0.0412,3,0.4498231999108463,0.7424519810937683,0.38490396218753664,0.23923397143857664,1.0,0,0,0,0,1.0,1.0,82.4543,real_data_meta_benchmark_run
meta_run_00029,PAIR_0016,Agent_Without,3016,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,long,2026-08-14T13:58:17.428572+00:00,2026-08-14T13:58:42.422795+00:00,0.0126,0.01,4,0.5595688762552901,0.8355797750096182,0.6382755050211601,0.18404994715024026,1.0,0,0,0,0,1.0,1.0,85.9316,real_data_meta_benchmark_run
meta_run_00030,PAIR_0016,Agent_With,3016,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,long,2026-08-14T13:58:17.432712+00:00,2026-08-14T13:58:42.757779+00:00,0.114,0.0399,3,0.44745564164251156,0.9191377525105802,0.7382755050211602,0.13404994715024024,1.0,0,0,0,0,1.0,1.0,87.9921,real_data_meta_benchmark_run
meta_run_00031,PAIR_0004,Agent_With,3004,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,short,2026-08-14T13:58:17.436878+00:00,2026-08-14T13:58:43.113330+00:00,0.1353,0.0474,3,0.4518282606577591,0.756558312510073,0.413116625020146,0.23259009603923236,1.0,0,0,0,0,1.0,1.0,82.8999,real_data_meta_benchmark_run
meta_run_00032,PAIR_0004,Agent_Without,3004,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,short,2026-08-14T13:58:17.440686+00:00,2026-08-14T13:58:43.482188+00:00,0.0412,0.0144,4,0.4782791562550365,0.6877802841000663,0.313116625020146,0.28259009603923235,1.0,0,0,0,0,1.0,1.0,80.2192,real_data_meta_benchmark_run
meta_run_00033,PAIR_0047,Agent_Without,3047,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_only,long,2026-08-14T13:58:17.444218+00:00,2026-08-14T13:58:43.766952+00:00,0.0415,0.0145,4,0.47837325080649107,0.687951365102711,0.31349300322596446,0.28250017844056124,1.0,0,0,0,0,1.0,1.0,80.2256,real_data_meta_benchmark_run
meta_run_00034,PAIR_0047,Agent_With,3047,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_only,long,2026-08-14T13:58:17.448826+00:00,2026-08-14T13:58:44.061214+00:00,0.146,0.0511,3,0.4498231999108463,0.7567465016129822,0.4134930032259645,0.23250017844056126,1.0,0,0,0,0,1.0,1.0,82.8878,real_data_meta_benchmark_run
meta_run_00035,PAIR_0020,Agent_With,3020,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_only,short,2026-08-14T13:58:17.452244+00:00,2026-08-14T13:58:44.383341+00:00,0.1574,0.0551,3,0.4498231999108463,0.9436953508322832,0.7873907016645663,0.11185769646963344,1.0,0,0,0,0,1.0,1.0,88.8506,real_data_meta_benchmark_run
meta_run_00036,PAIR_0020,Agent_Without,3020,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_only,short,2026-08-14T13:58:17.455612+00:00,2026-08-14T13:58:44.642541+00:00,0.0149,0.01,4,0.5718476754161416,0.8579048643929846,0.6873907016645662,0.16185769646963344,1.0,0,0,0,0,1.0,1.0,86.8582,real_data_meta_benchmark_run
meta_run_00037,PAIR_0005,Agent_Without,3005,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_only,long,2026-08-14T13:58:17.458955+00:00,2026-08-14T13:58:44.920323+00:00,0.0519,0.0182,4,0.4804289578217984,0.6916890142214516,0.3217158312871938,0.2805269732862817,1.0,0,0,0,0,1.0,1.0,80.3653,real_data_meta_benchmark_run
meta_run_00038,PAIR_0005,Agent_With,3005,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_only,long,2026-08-14T13:58:17.462578+00:00,2026-08-14T13:58:45.210039+00:00,0.1404,0.0491,3,0.45488987274803305,0.7608579156435968,0.4217158312871938,0.23052697328628166,1.0,0,0,0,0,1.0,1.0,83.0575,real_data_meta_benchmark_run
